family,scheme,target,kind,positives,negatives,spearman,auc,rmse
relative_object_spatial,leave_one_task,feedback_target_contact_count,continuous,,,0.3705568566467168,,43.61694093209356
relative_object_spatial,leave_one_task,commit_target_contact,binary,141.0,499.0,,0.5965548117511619,0.4030746255088263
relative_object_spatial,leave_one_task,feedback_target_contact,binary,126.0,514.0,,0.6679791242048051,0.3541966989243753
relative_object_spatial,leave_one_task,commit_drop,binary,29.0,611.0,,0.572379931147356,0.2123879180953028
relative_object_spatial,leave_one_task,feedback_drop,binary,16.0,624.0,,0.4178685897435897,0.1606209233477624
relative_object_spatial,leave_one_task,commit_wrong,binary,21.0,619.0,,0.403415647357489,0.1824593169702439
relative_object_spatial,leave_one_task,feedback_wrong,binary,39.0,601.0,,0.6202056401723623,0.2464417911597672
relative_object_spatial,leave_one_task,commit_deadlock,binary,35.0,605.0,,0.5106021251475797,0.2296929254489347
relative_object_spatial,leave_one_task,feedback_deadlock,binary,83.0,557.0,,0.5784862970733923,0.3297764309824108
relative_object_spatial,leave_one_level,commit_target_lift,continuous,,,0.251728381896074,,0.0417882849283515
relative_object_spatial,leave_one_level,feedback_target_lift,continuous,,,0.1913856315564269,,0.0439283681341729
relative_object_spatial,leave_one_level,lift_advantage,continuous,,,-0.0939869702384298,,0.0069402484889397
relative_object_spatial,leave_one_level,commit_target_eef_distance,continuous,,,0.1730529890209693,,0.0692262574117365
relative_object_spatial,leave_one_level,feedback_target_eef_distance,continuous,,,0.1654775310730739,,0.0703328274089948
relative_object_spatial,leave_one_level,distance_advantage,continuous,,,0.4272686346245791,,0.0049715871642304
relative_object_spatial,leave_one_level,commit_target_contact_count,continuous,,,0.2135461118196797,,38.48017253951413
relative_object_spatial,leave_one_level,feedback_target_contact_count,continuous,,,0.2321543714889029,,42.01804794712056
relative_object_spatial,leave_one_level,commit_target_contact,binary,141.0,499.0,,0.6488579996873179,0.3946806524991623
relative_object_spatial,leave_one_level,feedback_target_contact,binary,126.0,514.0,,0.7229324933605089,0.3372895070857817
relative_object_spatial,leave_one_level,commit_drop,binary,29.0,611.0,,0.4194367627969976,0.2225945895627919
relative_object_spatial,leave_one_level,feedback_drop,binary,16.0,624.0,,0.2826522435897436,0.1640542314531334
relative_object_spatial,leave_one_level,commit_wrong,binary,21.0,619.0,,0.2574044157242864,0.1865843405768676
relative_object_spatial,leave_one_level,feedback_wrong,binary,39.0,601.0,,0.5222492427151328,0.2595911766576851
relative_object_spatial,leave_one_level,commit_deadlock,binary,35.0,605.0,,0.6001889020070839,0.2323601671286227
relative_object_spatial,leave_one_level,feedback_deadlock,binary,83.0,557.0,,0.6090285739006295,0.3432012132715178
relative_object_spatial,leave_one_cell,commit_target_lift,continuous,,,0.2219852664875415,,0.0456516480608903
relative_object_spatial,leave_one_cell,feedback_target_lift,continuous,,,0.1886388958700959,,0.0474973703045985
relative_object_spatial,leave_one_cell,lift_advantage,continuous,,,-0.2276128450809768,,0.0066363603174335
relative_object_spatial,leave_one_cell,commit_target_eef_distance,continuous,,,0.1377362981843217,,0.0749551993306738
relative_object_spatial,leave_one_cell,feedback_target_eef_distance,continuous,,,0.1279366069008957,,0.0752292305158975
relative_object_spatial,leave_one_cell,distance_advantage,continuous,,,0.4865364789628175,,0.0046501476434464
relative_object_spatial,leave_one_cell,commit_target_contact_count,continuous,,,0.258503324192991,,35.61403080961091
relative_object_spatial,leave_one_cell,feedback_target_contact_count,continuous,,,0.3136559841729066,,39.16842357674884
relative_object_spatial,leave_one_cell,commit_target_contact,binary,141.0,499.0,,0.6149604172884776,0.386739010673555
relative_object_spatial,leave_one_cell,feedback_target_contact,binary,126.0,514.0,,0.6975480205052189,0.3298839462845994
relative_object_spatial,leave_one_cell,commit_drop,binary,29.0,611.0,,0.4872171115751453,0.2228216976470989
relative_object_spatial,leave_one_cell,feedback_drop,binary,16.0,624.0,,0.3537660256410256,0.1621294462866634
relative_object_spatial,leave_one_cell,commit_wrong,binary,21.0,619.0,,0.2939456881298561,0.1866147554135303
relative_object_spatial,leave_one_cell,feedback_wrong,binary,39.0,601.0,,0.5370109646315969,0.2558456899351769
relative_object_spatial,leave_one_cell,commit_deadlock,binary,35.0,605.0,,0.5223140495867769,0.2344674783289676
relative_object_spatial,leave_one_cell,feedback_deadlock,binary,83.0,557.0,,0.6692262767407151,0.3292494162614487
