family,deployable,feature_count,target_variant,alpha,scheme,query_rate,raw_gain,adjusted_gain,rescues,harms,rescue_vs_harm_auc,effect_spearman,worst_cell_adjusted_gain,quintile_monotonic_rho,quintile_top_minus_bottom
relative_object_global,True,102,direct_grounded,0.01,leave_one_cell,0.2,-0.0359375,-0.0409375,8,31,0.3579787234042553,-0.1269462286160568,-0.3156249999999999,-0.6,-0.296875
relative_object_global,True,102,potential_success,0.01,leave_one_cell,0.2,-0.0078125,-0.0128124999999999,12,17,0.5057180851063829,0.0154326691103026,-0.158125,-0.1538967528127731,-0.046875
relative_object_global,True,102,direct_success,0.1,leave_one_task,0.2,-0.0171875,-0.0221875,11,22,0.4367021276595744,-0.0515368194607677,-0.1406249999999999,-0.6,-0.1328125
relative_object_global,True,102,direct_terminal_utility,0.1,leave_one_task,0.2,-0.021875,-0.0268749999999999,9,23,0.4252659574468085,-0.064911251807344,-0.2187499999999999,-0.7,-0.1484375
relative_object_global,True,102,direct_grounded,0.1,leave_one_task,0.2,-0.025,-0.03,9,25,0.4139627659574468,-0.0763190249636797,-0.2193749999999999,-0.6,-0.1875
relative_object_global,True,102,potential_success,0.1,leave_one_task,0.2,0.003125,-0.0018749999999999,19,17,0.5682180851063829,0.0664142738654522,-0.1143749999999999,0.4103913408340616,0.1328125
relative_object_global,True,102,direct_success,0.1,leave_one_level,0.2,-0.021875,-0.026875,12,26,0.405186170212766,-0.0869165624586363,-0.2099999999999999,-0.8999999999999998,-0.125
relative_object_global,True,102,direct_terminal_utility,0.1,leave_one_level,0.2,-0.025,-0.03,13,29,0.3868351063829787,-0.1103620639180668,-0.1843749999999999,-0.6668859288553501,-0.15625
relative_object_global,True,102,direct_grounded,0.1,leave_one_level,0.2,-0.025,-0.0299999999999999,13,29,0.3820478723404255,-0.1151951422245903,-0.1837499999999999,-1.0,-0.1640625
relative_object_global,True,102,potential_success,0.1,leave_one_level,0.2,-0.009375,-0.0143749999999999,13,19,0.4122340425531915,-0.0818769212845641,-0.1406249999999999,-0.3590924232298039,-0.1875
relative_object_global,True,102,direct_success,0.1,leave_one_cell,0.2,-0.0265625,-0.0315624999999999,9,26,0.3981382978723404,-0.0880512209139787,-0.2893749999999999,-0.6668859288553501,-0.203125
relative_object_global,True,102,direct_terminal_utility,0.1,leave_one_cell,0.2,-0.034375,-0.0393749999999999,9,31,0.3777925531914893,-0.1104322870797981,-0.2887499999999999,-0.6,-0.2578125
relative_object_global,True,102,direct_grounded,0.1,leave_one_cell,0.2,-0.0328125,-0.0378124999999999,9,30,0.3719414893617021,-0.1158197587684107,-0.2887499999999999,-0.6,-0.265625
relative_object_global,True,102,potential_success,0.1,leave_one_cell,0.2,0.0046875,-0.0003124999999999,17,14,0.5053191489361702,0.0136072775670537,-0.1143749999999999,0.2051956704170308,0.0
relative_object_global,True,102,direct_success,1.0,leave_one_task,0.2,-0.0109375,-0.0159374999999999,14,21,0.4776595744680851,-0.020576207710796,-0.1549999999999999,-0.4999999999999999,-0.046875
relative_object_global,True,102,direct_terminal_utility,1.0,leave_one_task,0.2,-0.021875,-0.026875,10,24,0.463563829787234,-0.0335806338075483,-0.2187499999999999,-0.0999999999999999,-0.0859375
relative_object_global,True,102,direct_grounded,1.0,leave_one_task,0.2,-0.0234375,-0.0284374999999999,10,25,0.4535904255319149,-0.0437317819644821,-0.2449999999999999,-0.3,-0.125
relative_object_global,True,102,potential_success,1.0,leave_one_task,0.2,-0.0109375,-0.0159374999999999,21,28,0.5054521276595745,-0.0032943286749028,-0.1649999999999999,-0.1025978352085154,0.0
relative_object_global,True,102,direct_success,1.0,leave_one_level,0.2,-0.021875,-0.0268749999999999,11,25,0.4098404255319149,-0.0818695293728029,-0.2368749999999999,-0.7999999999999999,-0.1015625
relative_object_global,True,102,direct_terminal_utility,1.0,leave_one_level,0.2,-0.0265625,-0.0315624999999999,12,29,0.3860372340425532,-0.1086027889189041,-0.2618749999999999,-0.7,-0.1640625
relative_object_global,True,102,direct_grounded,1.0,leave_one_level,0.2,-0.0234375,-0.0284374999999999,12,27,0.3825797872340425,-0.1125492484758495,-0.2356249999999999,-0.7,-0.15625
relative_object_global,True,102,potential_success,1.0,leave_one_level,0.2,-0.00625,-0.0112499999999999,16,20,0.369813829787234,-0.1366760378026028,-0.1918749999999999,-0.7,-0.171875
relative_object_global,True,102,direct_success,1.0,leave_one_cell,0.2,-0.025,-0.0299999999999999,9,25,0.4216755319148936,-0.0703874264370908,-0.2893749999999999,-0.4999999999999999,-0.1484375
relative_object_global,True,102,direct_terminal_utility,1.0,leave_one_cell,0.2,-0.034375,-0.0393749999999999,9,31,0.3980053191489361,-0.0929101709116663,-0.2887499999999999,-0.3590924232298039,-0.203125
relative_object_global,True,102,direct_grounded,1.0,leave_one_cell,0.2,-0.034375,-0.0393749999999999,8,30,0.3956117021276595,-0.0976077308359013,-0.2887499999999999,-0.3,-0.2109375
relative_object_global,True,102,potential_success,1.0,leave_one_cell,0.2,-0.003125,-0.0081249999999999,20,22,0.4490691489361702,-0.0576113282814062,-0.1649999999999999,-0.1999999999999999,-0.109375
relative_object_global,True,102,direct_success,10.0,leave_one_task,0.2,-0.0015625,-0.0065624999999999,14,15,0.5386968085106383,0.0355341518213245,-0.1143749999999999,0.7,0.046875
relative_object_global,True,102,direct_terminal_utility,10.0,leave_one_task,0.2,-0.0078125,-0.0128124999999999,14,19,0.5219414893617021,0.0212431224163609,-0.1681249999999999,0.3,0.0390625
relative_object_global,True,102,direct_grounded,10.0,leave_one_task,0.2,-0.0078125,-0.0128125,13,18,0.5146276595744681,0.0146187374930429,-0.1937499999999999,0.3,0.046875
relative_object_global,True,102,potential_success,10.0,leave_one_task,0.2,-0.0109375,-0.0159374999999999,18,25,0.4396276595744681,-0.0710674823191201,-0.32375,-0.7999999999999999,-0.03125
relative_object_global,True,102,direct_success,10.0,leave_one_level,0.2,-0.0203125,-0.0253124999999999,11,24,0.4242021276595745,-0.0698494595255821,-0.2893749999999999,-0.9746794344808964,-0.109375
relative_object_global,True,102,direct_terminal_utility,10.0,leave_one_level,0.2,-0.028125,-0.0331249999999999,9,27,0.3932180851063829,-0.1001218021582343,-0.3156249999999999,-0.8999999999999998,-0.15625
relative_object_global,True,102,direct_grounded,10.0,leave_one_level,0.2,-0.0265625,-0.0315624999999999,9,26,0.3864361702127659,-0.1043397091415211,-0.2899999999999999,-0.9746794344808964,-0.15625
relative_object_global,True,102,potential_success,10.0,leave_one_level,0.2,-0.034375,-0.0393749999999999,13,35,0.307313829787234,-0.1979344532146264,-0.2956249999999999,-0.8999999999999998,-0.3203125
relative_object_global,True,102,direct_success,10.0,leave_one_cell,0.2,-0.0125,-0.0174999999999999,13,21,0.4679521276595744,-0.0256704668995481,-0.2368749999999999,-0.4999999999999999,-0.0703125
relative_object_global,True,102,direct_terminal_utility,10.0,leave_one_cell,0.2,-0.0234375,-0.0284374999999999,11,26,0.4473404255319149,-0.0500810235055781,-0.2643749999999999,-0.4999999999999999,-0.1328125
relative_object_global,True,102,direct_grounded,10.0,leave_one_cell,0.2,-0.0234375,-0.0284374999999999,11,26,0.4421542553191489,-0.0558508212969499,-0.2643749999999999,-0.4999999999999999,-0.140625
relative_object_global,True,102,potential_success,10.0,leave_one_cell,0.2,-0.0234375,-0.0284374999999999,16,31,0.3348404255319149,-0.1836820260155268,-0.298125,-1.0,-0.3046875
