quintile,states,mean_effect,mean_score,family,target_variant,alpha,scheme
4,128,-0.0703125,0.0371629715923657,relative,potential_success,10.0,leave_one_task
0,128,0.09375,-0.4152646939955405,relative,direct_success,10.0,leave_one_level
1,128,-0.0546875,-0.1516489019485979,relative,direct_success,10.0,leave_one_level
2,128,-0.03125,-0.0092526940096368,relative,direct_success,10.0,leave_one_level
3,128,-0.0234375,0.1419684944057913,relative,direct_success,10.0,leave_one_level
4,128,-0.09375,0.4406413798721077,relative,direct_success,10.0,leave_one_level
0,128,0.1171875,-0.3751579022399891,relative,direct_terminal_utility,10.0,leave_one_level
1,128,-0.0625,-0.122400628110518,relative,direct_terminal_utility,10.0,leave_one_level
2,128,-0.015625,0.0087571438358112,relative,direct_terminal_utility,10.0,leave_one_level
3,128,-0.0234375,0.1335263037033195,relative,direct_terminal_utility,10.0,leave_one_level
4,128,-0.125,0.3913341556464473,relative,direct_terminal_utility,10.0,leave_one_level
0,128,0.0703125,-0.45884751031935,relative,direct_grounded,10.0,leave_one_level
1,128,-0.0078125,-0.1490039601614239,relative,direct_grounded,10.0,leave_one_level
2,128,0.015625,0.0103291886108654,relative,direct_grounded,10.0,leave_one_level
3,128,-0.0546875,0.1656642370524272,relative,direct_grounded,10.0,leave_one_level
4,128,-0.1328125,0.4581070038155458,relative,direct_grounded,10.0,leave_one_level
0,128,0.109375,-0.0707264329908995,relative,potential_success,10.0,leave_one_level
1,128,0.0,-0.0416454561428303,relative,potential_success,10.0,leave_one_level
2,128,0.0625,-0.0277930218215473,relative,potential_success,10.0,leave_one_level
3,128,-0.09375,-0.0055926902922607,relative,potential_success,10.0,leave_one_level
4,128,-0.1875,0.0300754653841677,relative,potential_success,10.0,leave_one_level
0,128,-0.0234375,-0.4094653895918634,relative,direct_success,10.0,leave_one_cell
1,128,-0.0546875,-0.1539111427779615,relative,direct_success,10.0,leave_one_cell
2,128,0.015625,-0.0042496202326011,relative,direct_success,10.0,leave_one_cell
3,128,-0.0625,0.1337338161732737,relative,direct_success,10.0,leave_one_cell
4,128,0.015625,0.3569914440095855,relative,direct_success,10.0,leave_one_cell
0,128,0.015625,-0.3711264240962755,relative,direct_terminal_utility,10.0,leave_one_cell
1,128,-0.0390625,-0.1347463778327646,relative,direct_terminal_utility,10.0,leave_one_cell
2,128,-0.0078125,-0.0019295729763352,relative,direct_terminal_utility,10.0,leave_one_cell
3,128,-0.0625,0.1237391429487572,relative,direct_terminal_utility,10.0,leave_one_cell
4,128,-0.015625,0.3288803528510579,relative,direct_terminal_utility,10.0,leave_one_cell
0,128,-0.0078125,-0.4525275831823918,relative,direct_grounded,10.0,leave_one_cell
1,128,-0.015625,-0.1727946966305236,relative,direct_grounded,10.0,leave_one_cell
2,128,0.015625,-0.0161055375552419,relative,direct_grounded,10.0,leave_one_cell
3,128,-0.078125,0.1342285863275281,relative,direct_grounded,10.0,leave_one_cell
4,128,-0.0234375,0.3797173167455444,relative,direct_grounded,10.0,leave_one_cell
0,128,0.1796875,-0.0618624617919134,relative,potential_success,10.0,leave_one_cell
1,128,-0.0546875,-0.0334973255645281,relative,potential_success,10.0,leave_one_cell
2,128,-0.0625,-0.0196618464241756,relative,potential_success,10.0,leave_one_cell
3,128,-0.0546875,-0.0064214551488462,relative,potential_success,10.0,leave_one_cell
4,128,-0.1171875,0.022651600882596,relative,potential_success,10.0,leave_one_cell
0,128,0.0546875,-0.559600560905516,relative_object_global,direct_success,0.01,leave_one_task
1,128,-0.0078125,-0.2757051077585223,relative_object_global,direct_success,0.01,leave_one_task
2,128,-0.0625,-0.0764872606671393,relative_object_global,direct_success,0.01,leave_one_task
3,128,0.0,0.1363285588182538,relative_object_global,direct_success,0.01,leave_one_task
4,128,-0.09375,0.5295453238537582,relative_object_global,direct_success,0.01,leave_one_task
0,128,0.0625,-0.5253396729133041,relative_object_global,direct_terminal_utility,0.01,leave_one_task
1,128,-0.0234375,-0.2679674544342099,relative_object_global,direct_terminal_utility,0.01,leave_one_task
2,128,-0.0390625,-0.0882445140701016,relative_object_global,direct_terminal_utility,0.01,leave_one_task
3,128,0.0,0.1168807274140625,relative_object_global,direct_terminal_utility,0.01,leave_one_task
4,128,-0.109375,0.4929936783914014,relative_object_global,direct_terminal_utility,0.01,leave_one_task
0,128,0.1015625,-0.6160273228729372,relative_object_global,direct_grounded,0.01,leave_one_task
1,128,-0.03125,-0.320814722397984,relative_object_global,direct_grounded,0.01,leave_one_task
2,128,-0.0703125,-0.1188797575581583,relative_object_global,direct_grounded,0.01,leave_one_task
3,128,0.0078125,0.1257907400069634,relative_object_global,direct_grounded,0.01,leave_one_task
4,128,-0.1171875,0.5804094088724933,relative_object_global,direct_grounded,0.01,leave_one_task
0,128,-0.1796875,-0.4702165558915622,relative_object_global,potential_success,0.01,leave_one_task
1,128,0.0078125,-0.1800798667153104,relative_object_global,potential_success,0.01,leave_one_task
2,128,0.015625,-0.0253288832225746,relative_object_global,potential_success,0.01,leave_one_task
3,128,0.0390625,0.0727923968097809,relative_object_global,potential_success,0.01,leave_one_task
4,128,0.0078125,0.4053895634166933,relative_object_global,potential_success,0.01,leave_one_task
0,128,0.0234375,-0.608535143936831,relative_object_global,direct_success,0.01,leave_one_level
1,128,0.0546875,-0.1629647099242542,relative_object_global,direct_success,0.01,leave_one_level
2,128,-0.0078125,0.0812587162586558,relative_object_global,direct_success,0.01,leave_one_level
3,128,-0.0859375,0.2818952520565519,relative_object_global,direct_success,0.01,leave_one_level
4,128,-0.09375,0.6274371165779982,relative_object_global,direct_success,0.01,leave_one_level
0,128,0.0,-0.5608368604110255,relative_object_global,direct_terminal_utility,0.01,leave_one_level
1,128,0.0703125,-0.1452697760143451,relative_object_global,direct_terminal_utility,0.01,leave_one_level
2,128,0.046875,0.0849740846619919,relative_object_global,direct_terminal_utility,0.01,leave_one_level
3,128,-0.078125,0.2709020787678199,relative_object_global,direct_terminal_utility,0.01,leave_one_level
4,128,-0.1484375,0.574419526793688,relative_object_global,direct_terminal_utility,0.01,leave_one_level
0,128,0.03125,-0.6722483814831931,relative_object_global,direct_grounded,0.01,leave_one_level
1,128,0.0234375,-0.1846944322977328,relative_object_global,direct_grounded,0.01,leave_one_level
2,128,0.0390625,0.0990930892805155,relative_object_global,direct_grounded,0.01,leave_one_level
3,128,-0.078125,0.3294423917233453,relative_object_global,direct_grounded,0.01,leave_one_level
4,128,-0.125,0.6930205947672554,relative_object_global,direct_grounded,0.01,leave_one_level
0,128,0.0625,-0.4498854629238226,relative_object_global,potential_success,0.01,leave_one_level
1,128,0.0390625,-0.1142328720121729,relative_object_global,potential_success,0.01,leave_one_level
2,128,-0.046875,0.0030643804568587,relative_object_global,potential_success,0.01,leave_one_level
3,128,-0.140625,0.138628137588586,relative_object_global,potential_success,0.01,leave_one_level
4,128,-0.0234375,0.4304909517657586,relative_object_global,potential_success,0.01,leave_one_level
0,128,0.0625,-0.5049348300918131,relative_object_global,direct_success,0.01,leave_one_cell
1,128,-0.0078125,-0.2144865672644562,relative_object_global,direct_success,0.01,leave_one_cell
2,128,-0.03125,0.0031301067033079,relative_object_global,direct_success,0.01,leave_one_cell
