seed_group,id,factor,terminal_success,observations,supported_target,physical_interventions,localization_valid_observations,localization_valid_episode,close_near_observations,close_near_episode,grasp_attempt_observations,grasp_attempt_episode,mask_miss_observations,mask_miss_episode,attempt_and_miss_observations,attempt_and_miss_episode,persistent_miss_observations,persistent_miss_episode,persistent_miss_and_geometry_observations,persistent_miss_and_geometry_episode
0,position_x0.5_t9_i1,Position,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_y0.1_t9_i1,Position,True,40,True,0,10,True,0,False,0,False,7,True,0,False,0,False,0,False
0,position_y0.2_t9_i1,Position,False,70,True,0,69,True,0,False,0,False,57,True,0,False,0,False,0,False
0,position_y0.3_t9_i1,Position,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_y0.4_t9_i1,Position,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,position_y0.5_t9_i1,Position,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t0_i3,Object,True,32,False,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t0_i3,Environment,False,70,False,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t1_i3,Object,True,31,True,0,6,True,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t1_i3,Environment,True,37,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t2_i3,Object,True,29,True,0,2,True,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t2_i3,Environment,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t3_i3,Object,False,70,False,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t3_i3,Environment,True,30,False,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t4_i3,Object,True,36,True,0,6,True,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t4_i3,Environment,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t5_i3,Object,True,30,True,0,15,True,0,False,0,False,1,True,0,False,0,False,0,False
0,environment__t5_i3,Environment,True,31,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t6_i3,Object,True,39,True,0,33,True,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t6_i3,Environment,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t7_i3,Object,True,32,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t7_i3,Environment,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t8_i3,Object,True,37,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t8_i3,Environment,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t9_i3,Object,True,27,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t9_i3,Environment,True,30,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t0_i4,Object,False,70,False,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t0_i4,Environment,False,70,False,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t1_i4,Object,True,32,True,0,2,True,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t1_i4,Environment,True,37,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t2_i4,Object,True,28,True,0,2,True,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t2_i4,Environment,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t3_i4,Object,True,30,False,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t3_i4,Environment,True,30,False,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t4_i4,Object,True,35,True,0,34,True,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t4_i4,Environment,True,46,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t5_i4,Object,True,30,True,0,14,True,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t5_i4,Environment,True,30,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t6_i4,Object,True,38,True,0,34,True,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t6_i4,Environment,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t7_i4,Object,True,32,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
