variant,metric,risk_lambda,candidate_spearman,snapshots,selection_change_rate,baseline_residual_mean,selected_residual_mean,pooled_residual_delta,pooled_relative_delta,environment_residual_delta,object_residual_delta,position_residual_delta,worst_factor_residual_delta
hetero_earlystop,epistemic_mean,2.0,-0.010726903461297559,391,0.649616368286445,1.0826671750039396,1.0728145494790333,-0.009852625524906245,-0.009100327184917557,-0.006106657949508046,0.005870060920715332,-0.030979576236323306,0.005870060920715332
hetero_earlystop,predicted_mean_residual_rms,0.25,-0.12086250861127058,391,0.11764705882352941,1.0826671750039396,1.0784810333300734,-0.004186141673866136,-0.00386650835133235,-0.004021636501156906,0.000763392448425293,-0.008476359593240838,0.000763392448425293
hetero_earlystop,predicted_mean_residual_rms,0.5,-0.12086250861127058,391,0.23273657289002558,1.0826671750039396,1.0772226443680961,-0.005444530635843496,-0.005028812881321247,-0.004950675489675945,0.0011470643679300943,-0.01179728445253874,0.0011470643679300943
hetero_earlystop,predicted_mean_residual_rms,1.0,-0.12086250861127058,391,0.49104859335038364,1.0826671750039396,1.0781233310699463,-0.004543843933993289,-0.004196898214796948,-0.0032298788765436925,0.004675633907318115,-0.014879076731832403,0.004675633907318115
hetero_earlystop,predicted_mean_residual_rms,2.0,-0.12086250861127058,391,0.6726342710997443,1.0826671750039396,1.0781767484172227,-0.004490426586716986,-0.004147559555133503,-0.002861299935509177,-0.003946897983551026,-0.008709391167289332,-0.002861299935509177
hetero_earlystop,mean_plus_epistemic_rms,0.25,-0.1163752238413579,391,0.11508951406649616,1.0826671750039396,1.0787752160940633,-0.0038919589098762065,-0.003594787945669494,-0.0030282355541557207,-0.0003814069430033366,-0.008672740584925601,-0.0003814069430033366
hetero_earlystop,mean_plus_epistemic_rms,0.5,-0.1163752238413579,391,0.22762148337595908,1.0826671750039396,1.0780697731715638,-0.004597401832375685,-0.004246366693770831,-0.0034636283352364244,8.822282155354818e-05,-0.010934094378822728,8.822282155354818e-05
hetero_earlystop,mean_plus_epistemic_rms,1.0,-0.1163752238413579,391,0.4731457800511509,1.0826671750039396,1.0773550429002707,-0.005312132103668759,-0.00490652365409474,-0.0028394549680511335,0.0017627604802449544,-0.016649801480142695,0.0017627604802449544
hetero_earlystop,mean_plus_epistemic_rms,2.0,-0.1163752238413579,391,0.659846547314578,1.0826671750039396,1.0752748926277356,-0.007392282376204,-0.006827843816523856,-0.004124971536489634,-0.007978215217590331,-0.014530500612760846,-0.004124971536489634
hetero_earlystop,expected_residual_rms,0.25,-0.07368097431051175,391,0.09718670076726342,1.0826671750039396,1.0804488523232052,-0.0022183226807343075,-0.002048942400720919,-0.0033529050209942985,0.0009231185913085938,-0.002059011082900198,0.0009231185913085938
hetero_earlystop,expected_residual_rms,0.5,-0.07368097431051175,391,0.17135549872122763,1.0826671750039396,1.079581763280932,-0.0030854117230076313,-0.0028498247607778486,-0.004814827873696029,0.003382844924926758,-0.004168762031354402,0.003382844924926758
hetero_earlystop,expected_residual_rms,1.0,-0.07368097431051175,391,0.3887468030690537,1.0826671750039396,1.0782616908288063,-0.004405484175133278,-0.004069102931025176,-0.0047655245837043315,0.005675992965698242,-0.011526977388482344,0.005675992965698242
hetero_earlystop,expected_residual_rms,2.0,-0.07368097431051175,391,0.5345268542199488,1.0826671750039396,1.0764670652501724,-0.006200109753767243,-0.005726699669955988,-0.004324582097756917,0.003469243844350179,-0.0181968795625787,0.003469243844350179
