planning_strategy,planning_risk_lambda,suite,task_id,init_state_id,episodes,successes,success_rate,mean_final_t,selected_not_max_value_rate
max_value_disagreement_requery,1.0,libero_object_env,7,2,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,7,2,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,7,3,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,7,3,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,7,4,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,7,4,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,7,5,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,7,5,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,7,6,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,7,6,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,7,7,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,7,7,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,7,8,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,7,8,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,7,9,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,7,9,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,8,0,1,1,1.0,172.0,0.0
max_value_random_requery_43,0.0,libero_object_env,8,0,1,1,1.0,199.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,8,1,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,8,1,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,8,2,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,8,2,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,8,3,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,8,3,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,8,4,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,8,4,1,0,0.0,280.0,0.0
