quintile,states,mean_effect,mean_score,family,feature_count,target_variant,alpha,scheme,budget
3,128,-0.078125,0.20627060446883647,relative_control,80,direct_success,0.1,leave_one_level,0.2
4,128,-0.0859375,0.531087503392251,relative_control,80,direct_success,0.1,leave_one_level,0.2
0,128,0.046875,-0.5971064291172264,relative_control,80,direct_success,0.1,leave_one_level,0.3
1,128,0.0078125,-0.1958960052880617,relative_control,80,direct_success,0.1,leave_one_level,0.3
2,128,0.0,0.016813072441597264,relative_control,80,direct_success,0.1,leave_one_level,0.3
3,128,-0.078125,0.20627060446883647,relative_control,80,direct_success,0.1,leave_one_level,0.3
4,128,-0.0859375,0.531087503392251,relative_control,80,direct_success,0.1,leave_one_level,0.3
0,128,0.0703125,-0.5372338980521436,relative_control,80,direct_success,1.0,leave_one_level,0.1
1,128,-0.0546875,-0.18868368271484534,relative_control,80,direct_success,1.0,leave_one_level,0.1
2,128,0.03125,-0.0006048499291390301,relative_control,80,direct_success,1.0,leave_one_level,0.1
3,128,-0.078125,0.18132745701464045,relative_control,80,direct_success,1.0,leave_one_level,0.1
4,128,-0.078125,0.5132658319978731,relative_control,80,direct_success,1.0,leave_one_level,0.1
0,128,0.0703125,-0.5372338980521436,relative_control,80,direct_success,1.0,leave_one_level,0.2
1,128,-0.0546875,-0.18868368271484534,relative_control,80,direct_success,1.0,leave_one_level,0.2
2,128,0.03125,-0.0006048499291390301,relative_control,80,direct_success,1.0,leave_one_level,0.2
3,128,-0.078125,0.18132745701464045,relative_control,80,direct_success,1.0,leave_one_level,0.2
4,128,-0.078125,0.5132658319978731,relative_control,80,direct_success,1.0,leave_one_level,0.2
0,128,0.0703125,-0.5372338980521436,relative_control,80,direct_success,1.0,leave_one_level,0.3
1,128,-0.0546875,-0.18868368271484534,relative_control,80,direct_success,1.0,leave_one_level,0.3
2,128,0.03125,-0.0006048499291390301,relative_control,80,direct_success,1.0,leave_one_level,0.3
