family,feature_count,target_variant,alpha,scheme,budget,query_rate,raw_gain,adjusted_gain,rescues,harms,rescue_vs_harm_auc,effect_spearman,worst_cell_adjusted_gain,quintile_monotonic_rho,quintile_top_minus_bottom
relative_control,80,direct_terminal_utility,1.0,leave_one_cell,0.3,0.3,-0.015625,-0.023124999999999996,18,28,0.43470744680851064,-0.04975865402043748,-0.18437499999999998,-0.49999999999999994,-0.0703125
relative_control,80,direct_terminal_utility,10.0,leave_one_cell,0.1,0.1,0.0,-0.0024999999999999988,7,7,0.4640957446808511,-0.02252192315104651,-0.05312499999999999,-0.49999999999999994,-0.03125
relative_control,80,direct_terminal_utility,10.0,leave_one_cell,0.2,0.2,-0.003125,-0.008124999999999999,12,14,0.4640957446808511,-0.02252192315104651,-0.05499999999999999,-0.49999999999999994,-0.03125
relative_control,80,direct_terminal_utility,10.0,leave_one_cell,0.3,0.3,-0.0125,-0.01999999999999999,19,27,0.4640957446808511,-0.02252192315104651,-0.18437499999999998,-0.49999999999999994,-0.03125
relative_control,80,direct_grounded,0.01,leave_one_cell,0.1,0.1,0.0046875,0.0021875000000000006,7,4,0.42792553191489363,-0.05436135107707059,-0.053749999999999985,-0.49999999999999994,-0.078125
relative_control,80,direct_grounded,0.01,leave_one_cell,0.2,0.2,-0.0015625,-0.006562499999999997,13,14,0.42792553191489363,-0.05436135107707059,-0.11312499999999999,-0.49999999999999994,-0.078125
relative_control,80,direct_grounded,0.01,leave_one_cell,0.3,0.3,-0.0203125,-0.02781249999999999,17,30,0.42792553191489363,-0.05436135107707059,-0.23749999999999996,-0.49999999999999994,-0.078125
relative_control,80,direct_grounded,0.1,leave_one_cell,0.1,0.1,0.0046875,0.0021875,7,4,0.43377659574468086,-0.0511705091668244,-0.03249999999999999,-0.49999999999999994,-0.0703125
relative_control,80,direct_grounded,0.1,leave_one_cell,0.2,0.2,-0.0015625,-0.006562499999999997,13,14,0.43377659574468086,-0.0511705091668244,-0.1125,-0.49999999999999994,-0.0703125
relative_control,80,direct_grounded,0.1,leave_one_cell,0.3,0.3,-0.01875,-0.026249999999999996,18,30,0.43377659574468086,-0.0511705091668244,-0.23687499999999995,-0.49999999999999994,-0.0703125
relative_control,80,direct_grounded,1.0,leave_one_cell,0.1,0.1,0.0046875,0.0021874999999999998,7,4,0.43922872340425534,-0.04761869556557354,-0.027499999999999997,-0.49999999999999994,-0.046875
relative_control,80,direct_grounded,1.0,leave_one_cell,0.2,0.2,-0.003125,-0.008124999999999997,14,16,0.43922872340425534,-0.04761869556557354,-0.11249999999999998,-0.49999999999999994,-0.046875
relative_control,80,direct_grounded,1.0,leave_one_cell,0.3,0.3,-0.01875,-0.026249999999999996,17,29,0.43922872340425534,-0.04761869556557354,-0.20999999999999996,-0.49999999999999994,-0.046875
relative_control,80,direct_grounded,10.0,leave_one_cell,0.1,0.1,0.0046875,0.002187500000000001,8,5,0.46808510638297873,-0.02166815734262929,-0.033124999999999995,-0.6,-0.015625
