job_id,cohort,cell,camera,projected_gt_cv,intrinsic,camera_to_world,target_pixels,observation_raw_mae,observation_flipped_mae,target_xyz,predicted_xyz,predicted_pixel_cv,target_in_front,pixel_center_error,xy_error_m,xy_error_true_plane_m,world_reconstruction_error_m,gt_projection_roundtrip_error_m,plane_height_error_m,predicted_pixel_to_target_mask_px
y0.2_t6_i26,replication,y0.2_t6,agentview,"[102.72438315625847, 130.09648427215984]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",121,0.20097859700520834,55.74531046549479,"[-0.11743189381299213, -0.09813316144170935, 0.008695477418608112]","[-0.08879404574027994, -0.10583385567292063, 0.022766686975955963]","[100.0, 131.0]",True,2.870296892755066,0.029655135033891788,0.012007292647581267,0.0,2.241018352567316e-16,0.014071209557347851,0.0
y0.2_t9_i26,replication,y0.2_t9,agentview,"[140.0547379424894, 141.52078738692953]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",310,0.285064697265625,56.015869140625,"[0.05000006520572788, 0.03999837215389814, 0.06973547730149803]","[0.04019650490207227, 0.0401512719002099, 0.06917916983366013]","[140.0, 140.0]",True,1.5217721638247663,0.009804752570046543,0.008984051675191665,0.0,2.0735569924273854e-16,0.0005563074678378993,4.0
y0.3_t1_i26,replication,y0.3_t1,agentview,"[159.9871392272126, 156.32375434237454]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",230,0.2914683024088542,57.6275889078776,"[0.05074017301048602, 0.10940056232468831, 0.00892147741860811]","[0.048911956512219024, 0.11988081768848004, 0.008921477012336365]","[163.0, 156.0]",True,3.0302057538074036,0.010638520952407854,0.010638520785250263,0.0,4.814412412818452e-16,4.0627174541230104e-10,0.0
y0.3_t5_i26,replication,y0.3_t5,agentview,"[160.6484243534466, 149.23718299138932]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",548,0.09757486979166667,57.758992513020836,"[0.05023904907137033, 0.11006079703875188, 0.038392596419837215]","[0.04309379533422919, 0.1186751227776908, 0.03839259594678879]","[163.0, 148.0]",True,2.6571657410944707,0.011192017642260707,0.011192017150170675,0.0,2.3407842044455284e-16,4.73048426818945e-10,0.0
x0.3_t1_i26,transfer,x0.3_t1,agentview,"[102.08035256132816, 124.18858984603172]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",0,0.3064931233723958,57.05012512207031,"[-0.1613135758077037, -0.1037476678293045, 0.00892147741860811]","[0.048911956512219024, 0.11988081768848004, 0.008921477012336365]","[163.0, 156.0]",True,68.7253174604241,0.306927473475694,0.3069274737882828,0.0,3.643414901118046e-16,4.0627174541230104e-10,
x0.3_t2_i26,transfer,x0.3_t2,agentview,"[102.29472161746233, 110.33913813593296]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",249,0.21356709798177084,55.19152323404948,"[-0.1599992938350389, -0.09999129741361047, 0.07270545369900475]","[-0.09029982444652906, -0.10286599689134157, 0.08712827414274216]","[100.0, 116.0]",True,6.108281619710861,0.06975872655178769,0.044752644931115,0.0,1.7109685898544713e-16,0.01442282044373741,2.0
x0.3_t4_i26,transfer,x0.3_t4,agentview,"[53.08782519111565, 147.89877861398688]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",712,0.2728932698567708,54.78975931803385,"[0.09000293001277923, -0.23999758536104399, 0.07240547676577393]","[-0.11910090012947294, -0.18816912916598907, 0.20547789335250854]","[75.0, 83.0]",True,68.49813771514074,0.21543119702522792,0.5131776635382754,0.0,3.610892649124533e-16,0.13307241658673463,47.853944456021594
x0.3_t5_i26,transfer,x0.3_t5,agentview,"[-2612.1389194680855, 1724.7376368529633]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",0,0.3422902425130208,55.87267557779948,"[1.1340299453037834, -1.1179090409228243, 0.03042570948011839]","[-0.11407193179276764, -0.10702925776388418, 0.03839259594678879]","[100.0, 124.0]",True,3149.294921173805,1.6061246002758938,1.6155045540529696,0.0,3.1592929488711313e-16,0.007966886466670396,
x0.3_t6_i26,transfer,x0.3_t6,agentview,"[55.219775655862506, 163.81242396373798]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",231,0.049814860026041664,55.490987141927086,"[0.0912975916245622, -0.24084282281755476, 0.008695477418608112]","[0.0380728870164081, -0.23533916017311807, 0.03479422256350517]","[59.0, 148.0]",True,16.258008724963982,0.05350849916722603,0.08975673886828088,0.0,4.303827618143883e-16,0.02609874514489706,7.0
x0.3_t7_i26,transfer,x0.3_t7,agentview,"[54.84237376274367, 148.29020748873006]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",794,0.033930460611979164,56.0046641031901,"[0.08842981655169742, -0.23502686056554412, 0.06973547730149794]","[-0.4178941195602923, -0.34985163896694854, 0.06973547488451004]","[52.0, 84.0]",True,64.35300977849518,0.5191807565914495,0.5191807509295474,0.0,4.875035949994471e-16,2.4169879014879214e-09,45.17742799230607
x0.3_t8_i26,transfer,x0.3_t8,agentview,"[55.38860239934602, 162.52503490084737]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",353,0.35693359375,55.674479166666664,"[0.0899998874435213, -0.24, 0.013065477418608112]","[-0.10403445788880394, -0.10747076080420302, 0.013065477833151817]","[100.0, 131.0]",True,54.62604343519015,0.2349751612625488,0.23497516176086938,0.0,3.078242246215395e-16,4.145437049185574e-10,42.5440947723653
x0.3_t9_i26,transfer,x0.3_t9,agentview,"[102.32562047480762, 111.00930393306795]","[[309.01933598375615, 0.0, 128.0], [0.0, 309.01933598375615, 128.0], [0.0, 0.0, 1.0]]","[[-1.7233905013069872e-06, 0.5287697435529835, -0.8487653140297038, 0.8965773716836134], [0.9999999999985034, 7.823149652530503e-07, -1.5430955956352577e-06, 5.216182733499864e-07], [-1.5194045527300304e-07, -0.848765314031093, -0.5287697435535403, 0.65], [0.0, 0.0, 0.0, 1.0]]",209,0.3170420328776042,55.9470469156901,"[-0.1599999347942716, -0.10000162784608993, 0.06973547730149803]","[-0.38770466805301806, 0.05241592987681596, 0.1586969792842865]","[140.0, 68.0]",True,57.17656073440627,0.2740083163895801,0.48790079956918725,0.0,2.8202997483103253e-16,0.08896150198278847,50.44799302251776
