case_id,baseline_strategy_id,strategy_id,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_rerank_rate,mean_gate_rate,mean_requery_rate,mean_surrogate_alarm_rate,mean_selected_open_loop_steps
spatial_mug_task0_init0_surrogate_screen,action_l1,phase_requery_l1_r0.3_h8,8,8,7,1.0,0.875,-0.125,0,1,7,1.0,6.875,7.5,1.1333333333333333,1.0909090909090908,0.25595238095238093,0.7857142857142857,0.25595238095238093,0.20535714285714285,13.95238095238095
spatial_mug_task0_init0_surrogate_screen,action_l1,phase_requery_l1_r0.5_h8,8,8,8,1.0,1.0,0.0,0,0,8,1.0,6.875,6.875,1.225,1.0,0.35193452380952384,1.0,0.35193452380952384,0.1780753968253968,13.184523809523808
spatial_mug_task0_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.3_e0.0630054843163_h8,8,8,7,1.0,0.875,-0.125,0,1,7,1.0,6.875,8.875,1.2053571428571428,1.290909090909091,0.3797230848861284,1.0,0.3984213250517598,0.3984213250517598,12.812629399585921
spatial_mug_task0_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.3_e0.0884176756291_h8,8,8,6,1.0,0.75,-0.25,0,2,6,0.5,6.875,11.0,1.2023809523809526,1.6,0.3757088032581454,0.8635338345864662,0.28413612155388474,0.28413612155388474,13.726911027568923
spatial_mug_task0_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.3_e0.146849980679_h8,8,8,8,1.0,1.0,0.0,0,0,8,1.0,6.875,6.75,1.0,0.9818181818181818,0.28125,0.7916666666666667,0.010416666666666666,0.010416666666666666,15.916666666666668
spatial_mug_task0_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.5_e0.0884176756291_h8,8,8,8,1.0,1.0,0.0,0,0,8,1.0,6.875,8.25,1.1506410256410255,1.2,0.4273809523809524,0.9875,0.21517857142857144,0.21517857142857144,14.278571428571428
spatial_mug_task0_init0_surrogate_screen,action_l1,requery_l1_h8,8,8,8,1.0,1.0,0.0,0,0,8,1.0,6.875,7.875,1.1601190476190477,1.1454545454545455,0.3209033613445378,0.0,0.3209033613445378,0.20010504201680673,13.432773109243698
spatial_mug_task0_init0_surrogate_screen,action_l1,surrogate_disagreement_l1_e0.0884176756291_h8,8,8,6,1.0,0.75,-0.25,0,2,6,0.5,6.875,9.25,1.0446428571428572,1.3454545454545455,0.3984848484848485,1.0,0.09747474747474748,0.2660353535353535,15.22020202020202
spatial_mug_task0_init0_surrogate_screen,action_l1,surrogate_gate_l1_e0.0630054843163_h8,8,8,7,1.0,0.875,-0.125,0,1,7,1.0,6.875,10.625,1.2752289377289376,1.5454545454545454,0.2128976096367401,0.4590273856578204,0.4590273856578204,0.4590273856578204,12.327780914737437
spatial_mug_task0_init0_surrogate_screen,action_l1,surrogate_gate_l1_e0.0884176756291_h8,8,8,8,1.0,1.0,0.0,0,0,8,1.0,6.875,8.75,1.0892857142857144,1.2727272727272727,0.13274684873949577,0.2073485644257703,0.2073485644257703,0.2073485644257703,14.341211484593838
spatial_mug_task0_init0_surrogate_screen,action_l1,surrogate_gate_l1_e0.146849980679_h8,8,8,7,1.0,0.875,-0.125,0,1,7,1.0,6.875,8.0,1.0428571428571427,1.1636363636363636,0.0390625,0.07552083333333333,0.07552083333333333,0.07552083333333333,15.395833333333332
spatial_mug_task0_init0_surrogate_screen,action_l1,surrogate_horizon_l1_e0.0630054843163_h8,8,8,8,1.0,1.0,0.0,0,0,8,1.0,6.875,6.875,1.1708333333333334,1.0,0.31622023809523814,1.0,0.3571428571428571,0.3571428571428571,13.142857142857142
spatial_mug_task0_init0_surrogate_screen,action_l1,surrogate_horizon_l1_e0.0884176756291_h8,8,8,6,1.0,0.75,-0.25,0,2,6,0.5,6.875,11.0,1.2023809523809526,1.6,0.462421679197995,1.0,0.28413612155388474,0.28413612155388474,13.726911027568923
spatial_mug_task0_init0_surrogate_screen,action_l1,surrogate_horizon_l1_e0.146849980679_h8,8,8,8,1.0,1.0,0.0,0,0,8,1.0,6.875,7.125,1.0089285714285714,1.0363636363636364,0.4083333333333333,1.0,0.016666666666666666,0.016666666666666666,15.866666666666667
yellow_task8_init0_surrogate_screen,action_l1,max_value,8,2,2,0.25,0.25,0.0,1,1,6,1.0,12.5,12.75,1.0,1.02,0.0,0.0,0.0,0.39880952380952384,16.0
yellow_task8_init0_surrogate_screen,action_l1,phase_l1_r0.3,8,2,3,0.25,0.375,0.125,2,1,5,1.0,12.5,12.25,1.0,0.98,0.1509920634920635,0.4246031746031746,0.0,0.339484126984127,16.0
yellow_task8_init0_surrogate_screen,action_l1,phase_requery_l1_r0.3_h8,8,2,4,0.25,0.5,0.25,2,0,6,0.5,12.5,12.375,1.2053571428571428,0.99,0.2635416666666667,0.5380208333333333,0.2635416666666667,0.18784722222222222,13.891666666666666
yellow_task8_init0_surrogate_screen,action_l1,phase_requery_l1_r0.5_h8,8,2,6,0.25,0.75,0.5,4,0,4,0.125,12.5,11.0,1.2611607142857142,0.88,0.3754939096850861,0.8788324420677363,0.3754939096850861,0.19780897207367795,12.996048722519312
yellow_task8_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.3_e0.0630054843163_h8,8,2,4,0.25,0.5,0.25,2,0,6,0.5,12.5,16.5,1.4136904761904763,1.32,0.4021327404479579,0.8439970355731226,0.5514245718050066,0.5514245718050066,11.588603425559949
