source_run,strategy_id,case_id,suite,task_id,init_state_id,rollout_seed,planning_strategy,planning_risk_lambda,planning_difficulty_threshold,planning_value_margin,planning_uncertainty_margin,planning_phase_fraction,planning_short_open_loop_steps,planning_surrogate_error_threshold,experiment_split,num_open_loop_steps,success,final_t,num_queries,failure_type,target_drop_candidate,wrong_object_interaction_candidate,num_queries_observed,rerank_rate,gate_rate,requery_rate,surrogate_alarm_rate,mean_selected_open_loop_steps,nominal_queries_for_executed_steps,query_compute_ratio
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__phase_requery_action__l1p0,phase_requery_l1_r0.3_h8,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850194,phase_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,False,520,34,timeout_partial_goal,False,False,34,0.08823529411764708,0.35294117647058826,0.08823529411764706,0.35294117647058826,15.294117647058824,33.0,1.0303030303030303
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__phase_requery_action__l1p0,phase_requery_l1_r0.3_h8,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850291,phase_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,False,520,37,timeout_partial_goal,False,False,37,0.21621621621621623,0.3783783783783784,0.21621621621621623,0.3783783783783784,14.27027027027027,33.0,1.121212121212121
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__phase_requery_action__l1p0,phase_requery_l1_r0.3_h8,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850388,phase_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,250,20,success,False,False,20,0.4,0.7,0.4,0.0,12.8,16.0,1.25
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__phase_requery_action__l1p0,phase_requery_l1_r0.3_h8,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850485,phase_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,247,19,success,False,False,19,0.3157894736842105,0.6842105263157895,0.3157894736842105,0.0,13.473684210526315,16.0,1.1875
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__phase_requery_action__l1p0,phase_requery_l1_r0.3_h8,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850582,phase_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,250,19,success,False,False,19,0.3157894736842105,0.6842105263157895,0.3157894736842105,0.05263157894736842,13.473684210526315,16.0,1.1875
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__phase_requery_action__l1p0,phase_requery_l1_r0.3_h8,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850679,phase_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,248,18,success,False,False,18,0.2777777777777778,0.7222222222222222,0.2777777777777778,0.0,13.777777777777779,16.0,1.125
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__uncertainty_penalty_action__l1p0,action_l1,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850000,uncertainty_penalty_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,False,520,33,timeout_partial_goal,False,False,33,0.4545454545454546,0.0,0.0,0.30303030303030304,16.0,33.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__uncertainty_penalty_action__l1p0,action_l1,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850097,uncertainty_penalty_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,247,16,success,False,False,16,0.5625,0.0,0.0,0.0,16.0,16.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__uncertainty_penalty_action__l1p0,action_l1,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850194,uncertainty_penalty_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,244,16,success,False,False,16,0.375,0.0,0.0,0.0,16.0,16.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__uncertainty_penalty_action__l1p0,action_l1,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850291,uncertainty_penalty_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,254,16,success,False,False,16,0.5,0.0,0.0,0.0,16.0,16.0,1.0
